userId,movieId,rating
274,74532,2.5
606,3148,4.0
447,257,3.0
376,2571,3.5
249,522,4.0
6,881,3.0
380,5574,4.0
385,1307,3.0
480,7376,1.0
382,34048,4.5
89,78637,4.5
42,1687,3.0
414,1466,3.0
603,3181,4.0
603,2630,4.0
84,691,3.0
339,59315,3.5
131,541,4.0
599,8387,1.0
186,2115,4.0
16,1147,4.0
364,95,5.0
226,466,3.5
157,1193,3.0
469,588,2.0
562,204,3.0
603,3473,5.0
524,1027,2.0
414,3189,4.0
474,2409,3.0
217,1479,2.0
573,4878,4.5
23,6874,3.0
57,224,4.0
610,58964,4.0
599,1073,3.0
125,167790,3.5
484,6708,3.5
103,260,4.0
425,3623,3.0
330,2395,1.0
17,2762,4.0
204,81591,4.5
373,377,2.0
560,3301,3.0
187,25,3.0
20,3948,3.5
560,33794,3.5
468,592,3.0
32,1391,5.0
298,26903,2.5
177,99007,4.0
173,377,3.0
562,56941,3.5
313,2020,5.0
489,30793,2.5
477,374,0.5
52,54286,5.0
414,8810,2.0
64,543,3.5
580,1183,4.0
268,2583,4.0
288,3507,3.5
474,8481,3.0
597,592,4.0
350,708,3.0
68,485,2.5
603,461,3.0
484,2699,3.5
318,71468,3.5
220,58559,5.0
177,948,5.0
336,163,5.0
610,59315,4.0
19,3358,5.0
48,1485,4.0
544,694,4.0
480,1089,4.0
509,40629,4.0
599,2174,3.5
169,3174,3.0
436,592,3.0
608,5956,4.0
596,92938,2.0
571,2465,2.0
279,6874,3.0
239,8360,4.0
73,62434,4.0
249,5378,3.5
399,1262,3.5
232,46335,2.0
427,5266,3.5
447,345,3.0
480,6003,3.5
414,1922,3.0
387,4016,3.0
483,86882,5.0
10,7149,4.0
514,440,4.0
540,736,3.5
72,47,4.5
448,5459,2.0
514,2005,3.5
314,830,3.0
561,832,3.0
387,5909,4.0
328,55820,4.5
385,741,4.0
41,50872,4.0
606,3992,3.5
603,1735,4.0
599,538,2.5
387,2361,4.0
438,5956,0.5
222,5507,2.5
317,1617,4.0
462,2599,4.5
57,2709,3.0
187,6711,4.5
84,923,4.0
111,5874,4.0
414,30850,4.0
387,4956,3.5
445,2571,5.0
610,170875,3.0
597,1610,5.0
605,6539,5.0
460,44199,4.5
104,3844,3.5
149,2094,3.0
610,26612,5.0
11,1100,3.0
437,110,4.0
294,2383,1.0
307,4771,1.5
489,2628,1.0
608,3186,3.0
560,8604,3.5
305,5459,3.0
600,4205,3.5
213,2409,3.5
307,345,3.5
380,72356,4.0
561,84772,3.0
607,2699,3.0
8,592,3.0
